message,label
"giáo viên có tính tương tác khá cao, nhưng tất cả phụ thuộc vào việc học sinh có thể tiếp thu được nhiều kiến thức nhất có thể từ giáo viên hay không. Giáo viên luôn đúng giờ và rất hữu ích trong thời gian thi.",1
giảng dạy là tốt. Nhưng tốt hơn là nên giảm tốc độ giảng bài để hiểu học sinh hơn,0
" đánh giá tổng thể về hoạt động này là 4,5/5. Cách giảng dạy và tương tác rất tốt giữa sinh viên và bài giảng rất tốt, mỗi lần giảng bài sẽ có phong cách mới mẻ và mới mẻ, cảm ơn.",1
"xuất sắc, nhưng giảm tốc độ giảng dạy để hiểu học sinh",0
"giảng dạy thì ổn nhưng sự tương tác với học sinh cần phải cải thiện, ý tôi là họ phải tập trung vào những học sinh đần độn hơn là những học sinh thông minh....",0
Tương tác tốt nhưng cần phải nhiều hơn nữa ...nghỉ ngơi thì quá hoàn hảo,1
giáo viên giỏi môn học và đúng giờ,1
Mọi thứ sẽ ổn nếu số lượng sinh viên trong btech CSE của chúng tôi ít hơn.,0
 Tốt,1
Các khoa đang làm khá tốt nhưng cần nhiều giảng viên cao cấp hơn.,0
thỏa mãn,1
" Khoa thi chưa tốt, giảng dạy khá tốt, không có thời gian để học thêm, tương tác tốt",1
Tốt và Tốt,1
Tốt,1
Tốt,1
quản lý đại học rất xuất sắc nhưng một số giảng viên rất tệ,0
Tốt,1
Tốt,1
Tốt,1
"một số bài giảng rất xuất sắc, nhưng không phải tất cả mọi người",0
Học tập ở trường đại học này rất tốt,1
nó nhàm chán,0
Tốt,1
Tốt,1
giảng dạy tốt nhưng một số giảng viên đang thể hiện sự thiên vị giữa người miền Nam và người miền Bắc,0
xuất sắc,1
" giảng dạy tốt nhưng một số giáo viên chưa tương tác tốt và không thể hiểu rõ các khái niệm, giáo viên dạy đúng giờ.",0
Tốt,1
"Mọi thứ đều rất tốt. Phần tương tác là phần giống như giáo viên chủ yếu tương tác với từng học sinh, việc giảng dạy rất tốt và luôn duy trì đúng giờ.",1
Tốt,1
"Tôi rất hài lòng với cách giảng dạy của giảng viên về tính lặp lại, trình bày bài giảng, đúng giờ, v.v.",1
họ đang thể hiện sự thiên vị giữa người Ấn Độ Bắc và người Ấn Độ Nam,-1
Tốt,1
" Tương tác hài lòng, Bài giảng tốt, Đúng giờ là Tuyệt vời",1
 nhân viên đang thể hiện sự thiên vị giữa người Ấn Độ Bắc và người Ấn Độ Nam,-1
"trường đại học xuất sắc, phương thức giảng dạy hoàn toàn khác biệt so với bất kỳ trường đại học nào khác ở Ấn Độ. giảng viên rất thân thiện với mọi người mà họ tương tác giống như những người bạn và họ rất đúng giờ",1
giảng dạy đúng giờ và giảng dạy tốt nhưng sự tương tác với sinh viên chưa tốt.,0
ở đây đúng giờ và bài giảng tốt nhưng sự tương tác không tốt.,0
đủ tốt,1
" Ở trường đại học này có sự tương tác tốt với sinh viên, Giáo viên ở trường đại học này có thể giảng bài một cách hiệu quả, Trường đại học này rất đúng giờ",1
 Thực sự rất tốt.,1
Giảng dạy rất xuất sắc nhưng việc giảng dạy không đạt yêu cầu. Đúng giờ là tốt,1
sự tương tác của một số giảng viên là tốt nhưng không phải tất cả các giảng viên..,0
"tốt, và cũng thích phong cách giảng dạy",1
" Tương tác giữa học sinh và giáo viên tốt, bài giảng tốt, đúng giờ",1
không tệ,1
Nó khá tốt,1
thực sự rất tốt,1
không tệ..,1
giảng dạy tốt một số giảng viên đang thể hiện sự thiên vị giữa người miền Nam và người miền Bắc,0
TÔI LÀ HỌC SINH TRƯỜNG NỘI THẤT.....(jnv) TÔI ĐÃ HỌC 7 NĂM Ở ĐÓ Ở TRONG KÝ TÚC ..BÂY GIỜ SỐNG Ở LPU CŨNG NHƯ VẬY.. VÀ VẪN CŨNG HƠN NỮA VÀ ĐÚNG GIỜ ĐƯỢC HIỂN THỊ TẠI ĐÂY BỞI CẢ GIÁO VIÊN VÀ HỌC SINH...VÀ NHÂN VIÊN CŨNG CŨNG BỞI NHÂN VIÊN.. AN NINH TRÊN 90% (TRƯỜNG HỢP HỌC VIÊN ĐƯỢC GIẢI QUYẾT TỐT) ....LỚP HỌC THƯỜNG XUYÊN .... THỂ THAO HÀNG NGÀY..... THAM GIA TỐT/..... ..CHẤT LƯỢNG DƯỚI TRUNG BÌNH,0
Mọi điều khoản đều tốt liên quan đến hoạt động của trường đại học,1
TỐT,1
sự lôi cuốn tốt và cách trình bày bài giảng cũng tốt và sự đúng giờ cũng tốt,1
 tất cả các điều khoản nhất định đều tốt về trường đại học,1
Tất cả các điều khoản đều tốt liên quan đến các hoạt động của trường đại học.,1
" Một số giáo viên chưa có kinh nghiệm. Ngoài ra, họ không công bằng và bị lừa dối. Trên thực tế, nhiều giáo viên có ít hoặc không có kinh nghiệm về môn học này",-1
NÓ TỐT TỐT,1
nội dung các khóa học ở mức trung bình,0
Không tốt,-1
Tất cả tài liệu của khóa học đều cung cấp kiến thức rất tốt và có chiều sâu.,1
"Nội dung khóa học hoàn toàn phù hợp với triết lý giảng dạy đang được duy trì ở đây tức là học nhồi nhét, học vẹt.",-1
nội dung của các khóa học nâng cao kiến thức của tôi,1
Đúng,1
Tốt,1
 Trường đại học học kỳ này đã cung cấp những giáo viên giỏi nhất,1
Cần một số cải tiến,-1
Cần một số cải tiến,-1
Kiến thức và chiều sâu của khóa học là tốt nhưng khi xem xét tài liệu thì nó chưa đạt yêu cầu.,0
"Kiến thức, chiều sâu tất nhiên là tốt nhưng tài liệu khóa học chưa đạt yêu cầu",0
 nội dung khóa học có kiến thức,1
 Nội dung của các khóa học là tốt nhưng một số khóa học cần cải thiện. Tài liệu khóa học không đạt yêu cầu.,-1
Tốt,1
Rất tốt,1
 Tài liệu của khóa học không đủ tốt,-1
đôi khi tài liệu khóa học thích hợp là không cần thiết.,-1
Tài liệu khóa học dễ dàng có sẵn và có đủ kiến thức,1
"Các tài liệu hoặc liên kết được cung cấp cho mục đích học tập đều tốt, rõ ràng về chiều sâu của các khóa học nhưng một lần nữa, nó cũng có sự khác biệt giữa các giáo viên.",1
Các ghi chú của khóa học rất am hiểu và phù hợp.,1
Tốt,1
Tốt,1
nội dung của các khóa học được cập nhật và chủ yếu dựa trên công nghệ hiện tại.,1
Cần một số cải tiến,-1
Tốt,1
Giáo viên không đưa ra chiều sâu của khóa học. Họ cố gắng che đậy công việc ở đó mà thôi.,-1
Tốt,1
Tốt,1
mọi thứ đều ổn,1
Thật đáng trân trọng,1
Thỏa mãn,1
Những cuốn sách được đề xuất không có nội dung phù hợp; dẫn học sinh dựa vào slide do giáo viên đưa ra. Do đó kiến thức vẫn còn hời hợt,-1
Tuyệt vời,1
Nó phù hợp,1
 Khóa học rất hay và hữu ích,1
nó tốt,1
 Mọi thứ đều ổn. Mọi thứ đều được dạy chuyên sâu. Ngay cả một điểm cũng đủ để hiểu.,1
 Khóa học rất hay và hữu ích,1
nội dung đủ tốt,1
Tốt,1
Tốt,1
Chính xác,1
Chính xác,1
Hoàn hảo,1
tài liệu được cung cấp rất hữu ích và cung cấp nhiều kiến thức,1
đầy đủ kiến thức,1
Tốt,1
Tốt,1
kế hoạch tốt,1
Tốt,1
Tốt,1
Được rồi,1
Tốt,1
trung bình,0
nội dung rất dễ hiểu và cung cấp cho chúng ta kiến thức khổng lồ về mọi chủ đề,1
"nội dung là đủ, chúng tôi không cần nhiều hơn nữa.",1
nội dung chất lượng tốt nhưng một số giáo viên không tải ppt đúng hạn,0
nội dung khóa học tốt,1
nội dung của khóa học là kiến thức,1
các môn học phù hợp nhưng cần có chiều sâu vì giáo trình chỉ bao gồm những điều cơ bản chứ không phải chi tiết,0
Tốt,1
một số khóa học không liên quan vì chúng không liên quan đến luồng của tôi.,-1
có nhiều khóa học không liên quan đến ngành. một số chủ đề không được đề cập. Không có tài liệu phù hợp cho bất kỳ khóa học nào,-1
không tệ lắm,1
không tệ lắm,1
tài liệu khóa học là hoàn hảo,1
không tệ,1
Tốt,1
"IP được cung cấp cho sinh viên, điều này rất hữu ích cho sinh viên.",1
độ sâu của khóa học là ít hơn mặt khác kiến thức và tài liệu là tốt,0
Tốt,1
nội dung không cung cấp kiến thức sâu sắc,-1
trung bình,0
đôi khi nó không phù hợp với các khóa học đang diễn ra.,-1
trung bình (trong một học kỳ chỉ nên có hai môn học chính dựa trên số),0
một số trong số chúng rất hữu ích và có kiến thức và một số chỉ mang tính hình thức,0
"rất am hiểu, một số môn không có tài liệu chuyên dụng như sách có sẵn",0
nội dung tối ưu,1
Tốt,1
rất tốt,1
Tốt,1
rất tốt,1
nó không phù hợp,-1
Tài liệu khóa học phù hợp và có kiến thức hài lòng,1
"Tốt, nhưng mỗi học kỳ phải có ít nhất một môn thực hành",1
Đúng,1
Tốt,1
Tốt,1
Tốt,1
Tốt,1
Tốt,1
 Tốt.,1
nó không sâu lắm,-1
nội dung khóa học rất phù hợp với các khóa học của chúng tôi,1
Cấu trúc khóa học tốt và theo công nghệ ngày nay. Một số phần chủ đề quá rộng và khó có thể trình bày trong 1 học kỳ,0
Tốt,1
TỐT,1
 nội dung khóa học tốt,1
giáo trình không mắc nợ,-1
Xuất sắc,1
Rất tốt,1
"theo các khóa học, tất cả các phụ đều cung cấp kiến thức có giá trị",1
rất tốt,1
Tôi không biết,0
về các khóa học mọi thứ đều tốt,1
"đến với các khóa học, chúng được lên kế hoạch rất kỹ lưỡng... và tất cả phụ thuộc vào các bài giảng.",1
Tốt,1
Tốt,1
Tốt,1
Tốt,1
đến mức,1
Nó rất tốt.,1
TỐT,1
xuất sắc,1
nội dung tất nhiên là phong phú nhưng chiều sâu phải nhiều hơn,0
KHÓA HỌC TỐT KHÔNG CÓ TÀI LIỆU KHÓA HỌC ĐÚNG,0
xuất sắc,1
Tốt,1
Nội dung các khóa học nên thay đổi một chút. Phải triển khai thêm nhiều tính năng định hướng ngành như Linux và GitHub. Cần phải có kiến thức nâng cao và chi tiết phù hợp và phải được truyền đạt cho sinh viên. Tài liệu khóa học rất tốt.,-1
"tốt, nó có kiến thức, độ sâu của khóa học tốt, nhưng có tài liệu khóa học phù hợp chỉ dành cho một số môn học",1
trung bình,0
Tốt,1
Tốt,1
Xuất sắc,1
rất tốt và bạn cũng có thể tăng tiêu chuẩn của Khóa học,1
Các khóa học hiện có trong trường đại học đều có phạm vi và việc giảng dạy các khóa học này tiếp tục với quan điểm mang lại lợi ích tốt nhất cho sinh viên bằng cách cho họ tham gia các hoạt động và dự án khác nhau.,1
nội dung tất nhiên là quá đủ để có được những kiến thức cơ bản về chủ đề cụ thể đó.,1
các khóa học cũng tốt. Nhưng các môn học trong khoa cse ở năm thứ nhất có vẻ như là gánh nặng đối với chúng tôi,0
 đánh giá của tôi ở đây là 4/5,1
"tốt, họ làm việc rất chăm chỉ vì chúng ta",0
Tốt,1
giáo trình cần nhiều thời gian hơn..cần ít thời gian hơn để học sinh có thể tập trung thích hợp vào việc tiếp thu kiến thức thay vì chỉ ôn lại giáo trình tốt,-1
Tốt,1
"khi so sánh với các trường đại học khác, chúng tôi cần tài liệu và khả năng tiếp cận tốt hơn.",-1
Tốt,1
nội dung của khóa học nên được tăng lên theo chiều sâu.,-1
nội dung do bạn cung cấp rất tuyệt vời để chúng tôi ngày càng học được nhiều hơn về chủ đề cụ thể đó,1
nội dung tất nhiên là phù hợp,1
Nội dung tất nhiên phải được tăng theo chiều sâu,-1
Tốt,1
Tốt,1
"Theo quan điểm của tôi, giáo trình của chúng tôi có rất ít nội dung..sẽ tốt hơn nếu có nhiều giáo trình và chiều sâu hơn trong giáo trình của chúng tôi",-1
một số giảng viên không tải lên ppts,-1
Được rồi,1
Tốt,1
xuất sắc,1
thật tốt khi học những khóa học này,1
nó rất khó và rất khó hiểu,-1
Đẹp,1
"vâng! à, một số giảng viên giảng dạy không tốt nhưng lịch trình của trường đại học rất tuyệt vời ... và trường đại học đã yêu cầu chúng tôi phản hồi. Điều đó thực sự hữu ích",0
Tốt,1
Nội dung của các khóa học tốt nhưng độ sâu của khóa học không đủ để có được những khái niệm tốt.,0
 nội dung là đủ cho chúng tôi,1
xuất sắc,1
"Nội dung của các khóa học rất tốt, những người này rất am hiểu, tất nhiên cũng có chiều sâu nhưng đôi khi không có tài liệu khóa học phù hợp.",0
Tốt,1
"Tôi thích các lớp học giao tiếp, các khóa học rất tốt",1
họ đang cung cấp kiến thức tốt cho chúng tôi,1
Xuất sắc,1
" Kiến thức là Tốt, Độ sâu tất nhiên là vừa ý, tài liệu khóa học phù hợp cũng tốt",1
nó tốt,1
mọi thứ đều tốt môn học có chiều sâu rất tốt hầu như tất cả sách đều có trong thư viện và hơn thế nữa 4/5,1
Tốt,1
Nó đẹp .,1
 không tốt,-1
 Tài liệu được cung cấp tại trường đại học này tất nhiên là có chiều sâu. Các khóa học ở trường đại học này có kiến thức sâu rộng,1
Độ sâu tất nhiên là rất sâu. Theo tôi nó rất cần thiết,1
"Một số môn học hay, dự đoán được. Các môn còn lại chưa đạt yêu cầu",0
độ sâu của khóa học là tốt ....cung cấp kiến thức cơ bản không quá sâu về các môn học....ít nhất họ nên cung cấp kiến thức sâu sắc và giáo trình ở các môn học chính...,0
Mình rất thích điều này vì mỗi chủ đề đều gắn liền với tình huống thực tế cuộc sống và mọi thứ trong chủ đề đều được sử dụng đầy đủ.,1
" Độ sâu của khóa học phụ thuộc vào mức độ tiếp nhận của sinh viên, tài liệu khóa học sẽ được cung cấp sau giờ học tại UMS",0
Tốt,1
 Khá tốt,1
Tốt,1
không đủ tốt.. chúng tôi muốn một cái gì đó nhiều hơn nữa.,-1
Tốt,1
THỜI GIAN HỌC HƠN ...Ít thời gian làm bài...ÍT THỜI GIAN CHO MỌI ĐIỀU .... KIẾN THỨC ÍT HƠN..... KHÓA HỌC ÍT HƠN ... NHƯNG TÀI LIỆU PHÙ HỢP THEO BÀI THI,-1
Kiến thức đạt được tối đa khi đọc sách và giáo viên cũng giải thích sâu nếu chúng ta muốn biết về nó.,0
PHẢI CẢI THIỆN,-1
Tất nhiên mọi người đều có thể nói được chiều sâu nhưng một số người chỉ đưa ra ghi chú,0
 chúng ta đang có được kiến thức tối đa,1
Kiến thức được thu thập tối đa bằng cách đọc sách và giáo viên cũng giải thích sâu về khái niệm này.,1
Không sao nhưng nên tập trung nhiều hơn vào kiến thức thực tế hơn là dựa trên nội dung. Nó sẽ hữu ích cho chúng tôi.,0
PHẢI CẢI THIỆN,-1
mô hình kiểm tra là tốt,1
Tốt,1
"Mô hình bài kiểm tra đạt điểm cao và Cgpa phụ thuộc vào các cách phân bổ điểm khác nhau như ca, mte, v.v., điều này rất đẹp so với các tổ chức khác. Việc kiểm tra giấy không phụ thuộc vào độ dài của câu hỏi mà phụ thuộc vào chất liệu, phần tốt nhất của nó.",1
"Một lần nữa, trường đại học kiểm tra khả năng ghi nhớ của sinh viên. Các câu hỏi nên nhấn mạnh nhiều hơn vào các khái niệm hơn là kiểm tra kho chứa kiến thức nhồi nhét của bộ não.",-1
mô hình kiểm tra là tốt,1
Đúng,1
Tốt,1
Tôi thích mẫu câu hỏi,1
Tốt,1
Tốt,1
" Trường đại học này tốt hơn nhiều so với các trường đại học khác khi đến với hình thức thi, điểm xáo trộn và khi đến bài kiểm tra không có sự sửa sai thiên vị nào bằng tất cả.",1
Tuyệt,1
hình thức thi tốt và kiểm tra giấy tốt.,1
Hình thức và quy trình thi rất tốt. Kiểm tra giấy cần phải được cải thiện.,0
Tốt,1
 Xuất sắc,1
Tốt,1
Tốt,1
Phân bổ điểm tốt Học sinh có thể dễ dàng kiểm tra kết quả học tập trong suốt học kỳ,1
"Hình thức thi và cách tiến hành có vẻ tốt nhưng đây là năm đầu tiên của tôi và khi tôi đi khảo sát lần đầu tiên thì nó không như mong đợi của tôi. Giáo viên đã đánh dấu các câu trả lời theo sự lựa chọn của họ, họ phải tìm kiếm nội dung hơn là độ dài của câu trả lời. Vì vậy, việc kiểm tra giấy tờ kém là có.",0
Hạ xuống.,1
Xuất sắc,1
Xuất sắc,1
hình thức thi và phân phối điểm là thủ tục rất tốt,1
Tốt,1
Trung bình,0
Nó là thỏa đáng.,1
Tốt,1
không tốt lắm,-1
tất cả đều tốt,1
Không tốt lắm Học sinh học rất chăm chỉ Nhưng kết quả không như ý,-1
Tất cả đều tốt ngoại trừ việc kiểm tra giấy tờ. Nó nên được cải thiện,0
Nhìn chung tất cả những điều này đều là điểm cộng của trường,1
Không tệ,1
Nó rất vui,1
Mô hình thi tốt nhưng cách phân phối điểm rất khó hiểu,0
"Hình thức thi tốt, phân bổ điểm cũng tốt bt việc kiểm tra giấy tờ rất chặt chẽ.",1
 Mọi thứ đều ổn.,1
Mô hình thi tốt nhưng cách phân phối điểm rất khó hiểu,0
 thỏa đáng,1
Tốt,1
Tốt,1
Rất tốt,1
Rất tốt,1
Chính xác,1
nó không quá tốt cũng không quá tệ,0
hình thức thi tốt và kiểm tra giấy tốt.,1
 Xuất sắc,1
Tốt,1
Tốt,1
Tốt,1
Tốt,1
Tốt,1
Tốt,1
 Xuất sắc,1
"hình thức thi, điểm, kiểm tra giấy tốt.",1
"kiểm tra quá nhiều, chúng tôi nản lòng",-1
quá nhiều bài kiểm tra,0
trung bình,0
kiểm tra bao gồm cả mô hình bài kiểm tra là tốt theo một số cách. MCQ nên được cung cấp cho học sinh để chuẩn bị cho kỳ thi.,1
mức độ kiểm tra phải được nâng lên. Phải đưa vào các câu hỏi có lý luận,-1
Được rồi,1
sơ đồ đánh dấu công bằng và mô hình thích ứng,1
hình thức kiểm tra tốt nhưng việc kiểm tra giấy tờ không hề diễn ra tốt đẹp.,0
không nên có dấu tiêu cực,-1
mọi thứ đều tốt,1
không nên có dấu tiêu cực,-1
không nên có dấu tiêu cực,-1
không tệ,1
Mọi thứ đều tốt .,1
"Tôi thích nó, tôi hài lòng với tất cả những công việc này",1
Tốt,1
 xuất sắc,1
khá tốt,1
Tốt,1
rất nghèo,-1
mẫu bài thi tốt và kiểm tra giấy tốt nhưng việc kiểm tra giấy có thể được cải thiện,1
"hình thức thi tốt, phân phối điểm rất tốt và việc kiểm tra bài viết khác nhau tùy theo từng khoa.",1
tất cả tuyệt vời,1
Tốt,1
 Xuất sắc,1
Tốt,1
Tốt,1
Phân bổ điểm tốt nhưng kiểm tra giấy tờ không tốt,0
thỏa mãn,1
Xuất sắc,1
Tốt,1
Tốt,1
Rất khó khăn,-1
Tốt,1
Xuất sắc,1
Tốt,1
Tốt.,1
nó tốt,1
xấu,-1
Mẫu bài thi tốt nhưng đôi khi điểm kiểm tra giấy mcq không chính xác.,0
rất nghiêm khắc,-1
Đó là một cách tốt trong mô hình,1
Tốt,1
Tốt,1
Không tốt,-1
Rất tốt,1
"Theo hình thức thi, bài thi môn toán luôn phải mang tính chủ quan hơn là khách quan.",-1
tất cả đều tốt,1
" Điều rất tệ là không gieo câu trả lời của mcQ trong bài thi, chúng tôi không đánh giá được đâu là sự đúng đắn và rộng rãi ở đâu mak mistacvk",-1
đến kỳ thi thì tốt,1
"Ở CA, nó nằm trong tay các bài giảng... trong khi ở mte và ete thì tốt.",0
 mình nghĩ mid trem cũng nên chủ quan,0
mô hình thi và phân phối điểm tốt,1
Tốt,1
rất tốt,1
Tốt,1
Hình thức thi và phân bổ điểm tất cả các học kỳ đều tốt. Ca và MTE cũng tạo cơ hội cho học sinh tiến bộ.,1
TỐT,1
trong các kỳ thi hãy cố gắng đưa ra các câu hỏi,0
rất tốt,1
TỐT VÀ NGHIÊM TÚC,1
 không tốt lắm,-1
tiến hành bài thi rất tốt nhưng việc sửa bài lại rất tệ,0
Mô hình kiểm tra là tốt. Nhiều câu hỏi chủ quan và dựa trên logic sẽ được đặt ra dựa trên việc học về khái niệm. Việc kiểm tra giấy tờ phải được thực hiện một cách sáng suốt hơn vì có nhiều nghi ngờ nảy sinh khi kiểm tra tờ OMR.,0
tất cả những điều này đều tốt,1
mẫu kiểm tra tốt nhất là ở lpu.,1
nên tăng tỷ lệ phần trăm giữa kỳ để học sinh có nhiều lựa chọn hơn để thành công trong các kỳ thi,0
rất tốt,1
Tốt,1
 Tốt,1
"Hệ thống thi cử của trường rất ấn tượng. Sơ đồ chỗ ngồi của sinh viên được tổ chức sao cho không có 2 sinh viên cùng lớp thi trong cùng một phòng hoặc thậm chí có khi cùng dãy nhà. Thông qua đó, sinh viên còn được làm quen và tham quan các khối khác nhau của trường đại học. Việc kiểm tra cũng công bằng.",1
Mọi thứ được tổ chức khá tốt,1
 Tốt,1
rất tốt 5/5,1
Tốt,1
